x:0.09	y:-0.06	z:0.96	t:19745.00
x:0.09	y:0.01	z:0.98	t:19762.00
x:0.09	y:0.03	z:0.99	t:19778.00
x:0.08	y:-0.04	z:1.01	t:19795.00
x:0.06	y:-0.06	z:0.95	t:19812.00
x:0.07	y:-0.05	z:0.92	t:19828.00
x:0.06	y:-0.06	z:0.92	t:19845.00
x:0.07	y:-0.01	z:0.96	t:19862.00
x:0.08	y:0.02	z:0.98	t:19879.00
x:0.07	y:-0.02	z:0.96	t:19895.00
x:0.07	y:-0.01	z:0.97	t:19912.00
x:0.07	y:0.01	z:0.95	t:19928.00
x:0.08	y:-0.02	z:0.96	t:19945.00
x:0.09	y:0.02	z:0.98	t:19962.00
x:0.10	y:0.09	z:0.99	t:19978.00
x:0.09	y:0.09	z:1.04	t:19995.00
x:0.09	y:0.00	z:0.94	t:20012.00
x:0.11	y:0.09	z:0.95	t:20029.00
x:0.11	y:0.21	z:0.99	t:20045.00
x:0.10	y:0.15	z:0.78	t:20062.00
x:0.01	y:-0.09	z:0.90	t:20078.00
x:-0.06	y:-0.33	z:0.98	t:20095.00
x:-0.17	y:-0.48	z:0.92	t:20112.00
x:-0.40	y:-0.82	z:1.27	t:20128.00
x:-0.63	y:-2.37	z:2.18	t:20145.00
x:-1.00	y:-1.99	z:1.48	t:20162.00
x:-1.28	y:-2.29	z:0.72	t:20178.00
x:-1.35	y:-0.18	z:0.94	t:20195.00
x:-0.89	y:1.30	z:1.12	t:20212.00
x:-0.26	y:2.22	z:0.91	t:20228.00
x:0.19	y:3.22	z:0.12	t:20245.00
x:0.25	y:2.23	z:0.14	t:20262.00
x:0.15	y:0.76	z:0.68	t:20279.00
x:0.06	y:0.33	z:0.81	t:20295.00
x:0.08	y:0.46	z:0.81	t:20312.00
x:0.08	y:0.56	z:0.69	t:20329.00
x:0.04	y:0.46	z:0.78	t:20345.00
x:0.02	y:0.24	z:0.88	t:20362.00
x:0.02	y:-0.07	z:1.04	t:20379.00
x:0.08	y:-0.17	z:1.14	t:20395.00
x:0.09	y:-0.16	z:1.05	t:20412.00
x:0.10	y:-0.17	z:1.01	t:20428.00
x:0.13	y:-0.08	z:1.04	t:20445.00
x:0.14	y:-0.03	z:1.03	t:20462.00
x:0.14	y:-0.04	z:0.99	t:20479.00
x:0.13	y:-0.06	z:1.00	t:20495.00
x:0.10	y:-0.06	z:0.94	t:20512.00
x:0.12	y:0.15	z:0.99	t:20528.00
x:0.09	y:0.14	z:0.88	t:20545.00
x:0.08	y:0.12	z:0.75	t:20562.00
x:0.09	y:0.07	z:0.83	t:20578.00
x:0.09	y:-0.01	z:1.07	t:20595.00
x:0.09	y:-0.04	z:1.06	t:20612.00
x:0.07	y:-0.11	z:0.95	t:20628.00
x:0.08	y:-0.08	z:0.90	t:20645.00
x:0.08	y:-0.07	z:0.94	t:20662.00
x:0.07	y:-0.13	z:0.97	t:20678.00
x:0.06	y:-0.19	z:1.05	t:20695.00
x:0.05	y:-0.26	z:1.07	t:20711.00
x:0.05	y:-0.25	z:1.01	t:20728.00
x:0.06	y:-0.19	z:0.98	t:20745.00
x:0.08	y:-0.14	z:0.99	t:20761.00
x:0.09	y:-0.14	z:0.98	t:20778.00
x:0.09	y:-0.12	z:0.97	t:20795.00
x:0.08	y:-0.16	z:0.92	t:20812.00
x:0.09	y:-0.15	z:0.97	t:20828.00
x:0.11	y:-0.01	z:0.98	t:20845.00
x:0.10	y:-0.09	z:0.94	t:20861.00
x:0.10	y:-0.14	z:0.92	t:20878.00
x:0.09	y:-0.16	z:0.91	t:20895.00
x:0.09	y:-0.14	z:0.95	t:20912.00
x:0.09	y:-0.13	z:0.95	t:20928.00
x:0.10	y:-0.02	z:0.98	t:20945.00
x:0.11	y:-0.03	z:0.95	t:20962.00
x:0.10	y:-0.11	z:0.98	t:20978.00
x:0.10	y:-0.13	z:0.91	t:20995.00
x:0.09	y:-0.15	z:0.90	t:21012.00
x:0.09	y:-0.12	z:0.97	t:21028.00
x:0.10	y:-0.02	z:1.00	t:21045.00
x:0.10	y:-0.04	z:1.00	t:21061.00
x:0.10	y:-0.08	z:0.98	t:21078.00
x:0.09	y:-0.12	z:0.95	t:21095.00
x:0.09	y:-0.13	z:0.93	t:21112.00
x:0.10	y:-0.04	z:0.94	t:21128.00
x:0.11	y:0.02	z:0.98	t:21145.00
x:0.10	y:-0.05	z:0.98	t:21161.00
x:0.09	y:-0.09	z:0.98	t:21178.00
x:0.09	y:-0.11	z:0.96	t:21195.00
x:0.09	y:-0.10	z:0.98	t:21212.00
x:0.09	y:-0.03	z:0.94	t:21228.00
x:0.10	y:-0.01	z:0.93	t:21245.00
x:0.10	y:-0.07	z:0.99	t:21262.00
